data,produto,preco,cidade_estado,bairro,loja
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,22.99, Santa Maria - RS,Centro,Hipermercado Santa Maria
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,32.94, Santa Maria - RS,Centro,Hipermercado Santa Maria
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,23.69, Viamão - RS,Cecília,BIG Viamão
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,28.59, Balneário Camboriú - SC,Centro,Hiper Balneário Camboriu
2025-04-20,Filé de Tilápia Congelado Copacol 800g,50.49, Balneário Camboriú - SC,Centro,Hiper Balneário Camboriu
2025-04-20,Posta de Tilápia Copacol 800g,28.99, Balneário Camboriú - SC,Centro,Hiper Balneário Camboriu
2025-04-20,Filé de Tilápia in Natura Congelado 400g,36.05, Balneário Camboriú - SC,Centro,Hiper Balneário Camboriu
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,29.19, Florianópolis - SC,Santa Monica,Hiper Florianópolis Shopping
2025-04-20,Filé de Tilápia Congelado Copacol 800g,49.99, Florianópolis - SC,Santa Monica,Hiper Florianópolis Shopping
2025-04-20,Posta de Tilápia Copacol 800g,33.19, Florianópolis - SC,Santa Monica,Hiper Florianópolis Shopping
2025-04-20,Filé de Tilápia Empanado Congelado Multigrãos Copacol 400g,29.99, Florianópolis - SC,Santa Monica,Hiper Florianópolis Shopping
2025-04-20,Filé de Tilápia Empanado Congelado Coco Copacol 400g,29.99, Florianópolis - SC,Santa Monica,Hiper Florianópolis Shopping
2025-04-20,Filé de Tilápia in Natura Congelado 400g,29.89, Florianópolis - SC,Santa Monica,Hiper Florianópolis Shopping
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,21.49, Barueri - SP,Centro Empresarial Tamboré,Hipermercado Tamboré
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,54.49, Barueri - SP,Centro Empresarial Tamboré,Hipermercado Tamboré
2025-04-20,Filé de Tilápia a Milanesa Congelado Swift 500 g,39.9, Barueri - SP,Centro Empresarial Tamboré,Hipermercado Tamboré
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,22.79, Caçapava - SP,Centro,Carrefour Bairro Caçapava
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,23.99, Campinas - SP,Jardim Von Zuben,Hipermercado Campinas Valinhos
2025-04-20,Filé de Tilápia a Milanesa Congelado Swift 500 g,42.25, Campinas - SP,Jardim Von Zuben,Hipermercado Campinas Valinhos
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,23.39, Diadema - SP,Centro,Hipermercado Diadema
2025-04-20,Filé de Tilápia a Milanesa Congelado Swift 500 g,42.25, Diadema - SP,Centro,Hipermercado Diadema
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,23.99, Guarujá - SP,Jd Belmar,Hipermercado Guarujá
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,65.99, Guarujá - SP,Jd Belmar,Hipermercado Guarujá
2025-04-20,Filé de Tilápia a Milanesa Congelado Swift 500 g,39.9, Guarujá - SP,Jd Belmar,Hipermercado Guarujá
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,24.09, Guarulhos - SP,Vila Rio de Janeiro,Hipermercado Guarulhos
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,65.79, Guarulhos - SP,Vila Rio de Janeiro,Hipermercado Guarulhos
2025-04-20,Filé de Tilápia a Milanesa Congelado Swift 500 g,39.9, Guarulhos - SP,Vila Rio de Janeiro,Hipermercado Guarulhos
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,57.79, Indaiatuba - SP,Cidade Nova,Carrefour Bairro Indaiatuba
2025-04-20,Filé de Tilápia Resfriada Carrefour Aprox. 900g,63.17, Indaiatuba - SP,Cidade Nova,Carrefour Bairro Indaiatuba
2025-04-20,Filé de Tilápia Congelado Copacol 800g,74.49, Indaiatuba - SP,Cidade Nova,Carrefour Bairro Indaiatuba
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,22.79, Itu - SP,Liberdade,Carrefour Bairro Itu
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,23.79, Jundiai - SP,Vila Vioto,Hipermercado Jundiai
2025-04-20,Filé de Tilápia Congelado Swift 800 g,38.9, Jundiai - SP,Vila Vioto,Hipermercado Jundiai
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,65.79, Jundiai - SP,Vila Vioto,Hipermercado Jundiai
